Descrição|Valor Original|Valor à Vista
Computador Pichau Gamer, Intel i5-11400F, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD M.2 480GB|R$ 4.878,30|R$ 3.049,96|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 3600, Geforce GTX 1060 6GB, 8GB DDR4, SSD 240GB|R$ 3.850,20|R$ 2.349,99|no PIX com 15% desconto
Computador Pichau Gamer sigyn II, Intel i5-10400F, Geforce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 4.632,20|R$ 2.859,88|no PIX com 15% desconto
Computador Pichau Gamer Forseti II, Intel i3-13100F, GeForce RTX 3060 12GB, 16GB DDR4, SSD 480GB|R$ 6.840,20|R$ 4.169,55|no PIX com 15% desconto
Computador Pichau Gamer, Intel i3-13100F, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 4.735,70|R$ 2.889,81|no PIX com 15% desconto
Computador Mancer Gamer, Intel i3-13100F, GeForce GTX 1660 Super 6GB, 16GB DDR4, SSD 480GB|R$ 5.161,20|R$ 3.299,80|no PIX com 15% desconto
Computador Pichau Gamer Andromalius III, Intel i3-13100F, GeForce RTX 2060 6GB, 16GB DDR4, SSD 480GB|R$ 5.517,70|R$ 3.349,97|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5600, GeForce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 4.853,00|R$ 3.099,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5500, GeForce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 4.393,00|R$ 2.799,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 3600, GeForce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 4.353,90|R$ 2.799,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 3 4100, GeForce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 4.255,00|R$ 2.699,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 5600G, GeForce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 5.244,00|R$ 3.299,99|no PIX com 15% desconto
Computador Pichau Gamer, AMD Ryzen 5 4600G, GeForce GTX 1060 6GB, 16GB DDR4, SSD 480GB|R$ 4.485,00|R$ 2.739,99|no PIX com 15% desconto
Computador Mancer Gamer Irene II, Intel i5-13400F, Radeon RX 6600 8GB, 16GB DDR4, SSD M.2 480GB|R$ 6.821,80|R$ 4.099,75|no PIX com 15% desconto
Computador Pichau Gamer, Intel i5-13400, Radeon RX 5500 XT 8GB, 16GB DDR4, SSD 480GB|R$ 6.242,20|R$ 3.799,87|no PIX com 15% desconto
